dev,nulldev,df,lambdau,x1,x2,x3
0.0,0.018750833389951583,0.0,3.757032166102741,0.0,0.0,0.0
0.3333628697205153,2.5972422825575787,2.0,2.9667490417319367,0.0,-3.060778248792926,1.0493142200290415
0.5648701263711019,3.014092221492414,2.0,2.342700165313589,0.0,-6.0435630544653,1.8752289550948624
0.7092266462113938,19.51686626105804,2.0,1.8499185429436844,0.0,-8.398925897445842,2.5274144143826773
0.799240260133883,0.45444417944477034,2.0,1.4607924079216497,0.0,-10.258843552766884,3.0424141537595997
0.8553683151767106,36.80409085395796,2.0,1.153518065528409,0.0,-11.727531782643782,3.4490848756857266
0.8903670051038085,101.25822432643723,2.0,0.9108781783672647,0.0,-12.887284802035712,3.7702133412496215
0.9123418764686804,0.29351492676403557,3.0,0.7192770365894479,0.013093777651933345,-13.802403423852969,4.023914478969755
0.9326606227201717,12.519578325793749,3.0,0.567978756821529,0.6630033847620588,-14.491666328437548,4.2301756217682795
0.9453303922498775,13.842430232367589,3.0,0.4485057242063249,1.1762060310403917,-15.035944359512213,4.393050205206567
0.9532306363413504,42.87762915852784,3.0,0.35416357078482763,1.5814576742915425,-15.465734751432516,4.521664492488346
0.9581568393443739,60.1551745219009,3.0,0.2796660735891913,1.9014655611345228,-15.805119717278533,4.6232250585619825
0.9612285768433698,48.45908110882338,3.0,0.22083895456405767,2.1541605207901093,-16.073115831681342,4.703422591815808
0.9631439610159154,12.820100759241194,3.0,0.17438598549706533,2.353701673557605,-16.284739576286423,4.766750757349417
0.9643383002228422,71.16933685862693,3.0,0.13770429224234382,2.5112698011611374,-16.451848750165585,4.816757988085046
0.9650830313121184,11.664299914199276,3.0,0.10873850927822375,2.6356938334579354,-16.58380689147287,4.856246312194469
0.9655474044048146,69.40823339681762,3.0,0.08586561252020636,2.7339420664146474,-16.68800834929708,4.887428324231194
0.9658369691123048,5.0315258479294656,3.0,0.0678039772883546,2.811527496818006,-16.77029085900122,4.912051304743631
0.9660175273983568,8.190496147958779,3.0,0.053541565723272816,2.8727930094776815,-16.83526543094426,4.93149489761544
0.9661301146501774,86.44381623332688,3.0,0.042279219814910486,2.921171461654433,-16.88657275026618,4.946848575191243
0.9662003185137036,56.3486270195805,3.0,0.03338588261307674,2.9593736170500673,-16.927087692300873,4.958972641800533
0.9662440941843439,29.025695901352933,3.0,0.026363238553920792,2.9895400364208276,-16.959080408930166,4.968546438724481
0.9662713905359086,4.1803414389139375,3.0,0.02081779161287492,3.0133610184630246,-16.98434353077903,4.976106409359312
0.9662884111959659,0.1269186644849361,3.0,0.01643881675427286,3.0321713114076574,-17.004292612719954,4.982076157459627
0.9662990244410398,8.431002072933468,3.0,0.012980949243119209,3.0470249022477036,-17.02004545089516,4.986790182698957
0.9663056423377971,6.589841036432505,3.0,0.010250436255312505,3.0587540742224806,-17.03248471558459,4.990512623509464
